,Unnamed: 0,GPS經度,GPS緯度,發生縣市名稱,肇因研判子類別名稱-主要,速限-第1當事者,道路型態大類別名稱,事故位置大類別名稱,號誌-號誌種類名稱,risk
1832,787,120.200836,22.99221,臺南市中西區中正路段口永福路,未依規定讓車,50,交岔路,交叉路口,閃光號誌,medium
1833,788,120.200836,22.99221,臺南市中西區中正路段口永福路,未依規定讓車,50,交岔路,交叉路口,閃光號誌,medium
1834,791,120.200836,22.99221,臺南市中西區中正路段巷弄號口與永福路段巷弄口,起步未注意其他車(人)安全,50,交岔路,交叉路口,行車管制號誌,medium
1835,792,120.200836,22.99221,臺南市中西區永福路段中正路口巷弄號,左轉彎未依規定,50,交岔路,交叉路口,行車管制號誌,medium
1836,793,120.200836,22.99221,臺南市中西區中正路段永福路口巷弄號,未注意車前狀態,50,交岔路,交叉路口,行車管制號誌,medium
1837,794,120.200836,22.99221,臺南市中西區中正路段巷弄號口與永福路段巷弄口,未依規定讓車,50,交岔路,交叉路口,行車管制號誌,medium
1838,795,120.200836,22.99221,臺南市中西區中正路段口永福路,違反特定標誌(線)禁制,50,交岔路,交叉路口,行車管制號誌(附設行人專用號誌),medium
1839,796,120.200836,22.99221,臺南市中西區中正路段永福路口巷弄號,未依規定讓車,50,交岔路,交叉路口,行車管制號誌,medium
1840,797,120.200836,22.99221,臺南市中西區中正路段西側永福路,未依規定讓車,50,交岔路,交叉路口,行車管制號誌(附設行人專用號誌),medium
1841,798,120.200836,22.99221,臺南市中西區中正路段南側永福路2,未依規定讓車,50,交岔路,交叉路口,行車管制號誌(附設行人專用號誌),medium
1842,799,120.200836,22.99221,臺南市中西區中正路段口永福路,未依規定讓車,50,交岔路,交叉路口,行車管制號誌,medium
1843,801,120.200836,22.99221,臺南市中西區中正路段西側永福路,迴轉未依規定,50,交岔路,交叉路口,行車管制號誌(附設行人專用號誌),medium
1844,802,120.200836,22.99221,臺南市中西區中正路段口永福路2,未依規定讓車,50,交岔路,交叉路口,行車管制號誌,medium
1845,803,120.200836,22.99221,臺南市中西區中正路段口永福路,搶越行人穿越道,50,交岔路,交叉路口,行車管制號誌,medium
1846,804,120.200836,22.99221,臺南市中西區中正路段巷弄號東側與永福路段巷弄口,違反特定標誌(線)禁制,50,交岔路,交叉路口,行車管制號誌(附設行人專用號誌),medium
1847,806,120.200836,22.99221,臺南市中西區中正路段西側永福路,左轉彎未依規定,50,交岔路,交叉路口,行車管制號誌(附設行人專用號誌),medium
1848,807,120.200836,22.99221,臺南市中西區中正路段西側永福路,未依規定讓車,50,交岔路,交叉路口,行車管制號誌,medium
1849,808,120.200836,22.99221,臺南市中西區中正路段永福路口巷弄號,未注意車前狀態,50,交岔路,交叉路口,行車管制號誌,medium
1850,809,120.200836,22.99221,臺南市中西區中正路段號永福路,未依規定讓車,50,交岔路,交叉路口,行車管制號誌(附設行人專用號誌),medium
1851,810,120.200836,22.99221,臺南市中西區中正路段口永福路2,未依規定讓車,50,交岔路,交叉路口,行車管制號誌(附設行人專用號誌),medium
1852,811,120.200836,22.99221,臺南市中西區中正路段巷弄號南側與永福路段巷弄口,其他引起事故之違規或不當行為,50,交岔路,其他,行車管制號誌,medium
1853,812,120.200836,22.99221,臺南市中西區中正路段口永福路,未依規定讓車,50,交岔路,交叉路口,行車管制號誌,medium
1854,815,120.200836,22.99221,臺南市中西區中正路段北側永福路,左轉彎未依規定,50,交岔路,交叉路口,行車管制號誌(附設行人專用號誌),medium
1855,816,120.200836,22.99221,臺南市中西區中正路段永福路口巷弄號,違反號誌管制或指揮,50,交岔路,交叉路口,行車管制號誌,medium
1856,818,120.200836,22.99221,臺南市中西區中正路段巷弄號附近與永福路2段巷弄口,違規停車或暫停不當而肇事,50,交岔路,交叉路口,行車管制號誌(附設行人專用號誌),medium
1857,819,120.200836,22.99221,臺南市中西區中正路段號永福路,未注意車前狀態,50,交岔路,交叉路口,行車管制號誌(附設行人專用號誌),medium
1858,820,120.200836,22.99221,臺南市中西區中正路段口永福路,未依規定讓車,50,交岔路,交叉路口,行車管制號誌,medium
1859,821,120.200836,22.99221,臺南市中西區中正路段口永福路,搶越行人穿越道,50,交岔路,其他,行車管制號誌,medium
1860,822,120.200836,22.99221,臺南市中西區中正路段永福路口巷弄號,搶越行人穿越道,50,交岔路,交叉路口,行車管制號誌(附設行人專用號誌),medium
1861,823,120.200836,22.99221,臺南市中西區中正路段口永福路,違反號誌管制或指揮,50,交岔路,交叉路口,行車管制號誌,medium
1862,2090,120.202535,22.990802,臺南市中西區忠義路段口友愛街,未保持行車安全距離,50,交岔路,交叉路口,閃光號誌,medium
1863,2091,120.202535,22.990802,臺南市中西區友愛街段北側忠義路2,未依規定讓車,50,交岔路,交叉路口,閃光號誌,medium
1864,2092,120.202535,22.990802,臺南市中西區忠義路2段號友愛街,右轉彎未依規定,50,交岔路,交叉路口,行車管制號誌,medium
1865,2093,120.202535,22.990802,臺南市中西區忠義路段巷弄號口與友愛街段巷弄口,違反號誌管制或指揮,50,交岔路,交叉路口,行車管制號誌,medium
