,GPS經度,GPS緯度,發生縣市名稱,肇因研判子類別名稱-主要,速限-第1當事者,道路型態大類別名稱,事故位置大類別名稱,號誌-號誌種類名稱,risk
40299,120.239734,23.17634,臺南市麻豆區段巷弄號寮?里171甲線道與171甲線2公里處之市區道路路口與段巷弄口,未注意車前狀態,50,交岔路,交叉路口,閃光號誌,low
40303,120.239734,23.17634,臺南市麻豆區段口巷弄號安正里南49-2線1公里處,起步未注意其他車(人)安全,50,單路部分,路段,無號誌,low
40304,120.239734,23.17634,臺南市麻豆區海埔里區道南24線段號區道南49線,未依規定讓車,50,交岔路,交叉路口,行車管制號誌,low
40313,120.239734,23.17634,臺南市麻豆區段巷弄號港尾里市區道路電桿港尾高分28左8號與段巷弄口,未靠右行駛,30,單路部分,路段,無號誌,low
40321,120.239734,23.17634,臺南市麻豆區段寮?里寮子?33號之1前,迴轉未依規定,50,單路部分,路段,無號誌,low
40324,120.239734,23.17634,臺南市麻豆區段寮?里171甲線1.6公里處,未注意車前狀態,50,單路部分,路段,無號誌,low
40328,120.239734,23.17634,臺南市麻豆區段井東里堤防道路溪底高幹18號,未注意車前狀態,50,單路部分,路段,無號誌,low
40332,120.239734,23.17634,臺南市麻豆區段號埤頭里麻豆交流道麻豆往佳里機車引道涵洞303K+380處,逆向行駛,30,單路部分,路段,無號誌,low
40335,120.239734,23.17634,臺南市麻豆區段口巷弄號井東里南48線道2公里處,未注意車前狀態,50,單路部分,路段,無號誌,low
40336,120.239734,23.17634,臺南市麻豆區段口巷弄號謝厝寮里173線5.9公里處,起步未注意其他車(人)安全,60,交岔路,交叉路口,無號誌,low
40343,120.239734,23.17634,臺南市麻豆區段新興里市區到路燈桿511452號,未依規定讓車,30,交岔路,交叉路口,無號誌,low
40345,120.239734,23.17634,臺南市麻豆區寮?里市道171線段巷弄號口與市道171甲線段巷弄口,違反號誌管制或指揮,40,交岔路,交叉路口,行車管制號誌,low
40346,120.239734,23.17634,臺南市麻豆區段口巷弄號清水里堤防道路溪底高幹8號前,未依規定讓車,50,交岔路,交叉路口,無號誌,low
40352,120.239734,23.17634,臺南市麻豆區段號謝厝寮里堤防道路燈桿510608號,未保持行車安全距離,50,單路部分,路段,無號誌,low
40353,120.239734,23.17634,臺南市麻豆區段171線15.5公里處,未保持行車安全距離,50,單路部分,路段,無號誌,low
40354,120.239734,23.17634,臺南市麻豆區段口巷弄號北勢里南49線2公里處,未注意車前狀態,50,單路部分,路段,無號誌,low
40355,120.239734,23.17634,臺南市麻豆區段巷弄號莊禮里南24線道9.4公里處與段巷弄口,未注意車前狀態,50,交岔路,交叉路口,無號誌,low
40360,120.239734,23.17634,臺南市麻豆區段海埔里大山腳1之19號前,未注意車前狀態,50,交岔路,交叉路口,閃光號誌,low
