,GPS經度,GPS緯度,發生縣市名稱,肇因研判子類別名稱-主要,速限-第1當事者,道路型態大類別名稱,事故位置大類別名稱,號誌-號誌種類名稱,risk
40363,120.239734,23.17634,臺南市麻豆區段口巷弄號清水里南48線5公里處(總爺庄3號之150前),未注意車前狀態,50,單路部分,路段,無號誌,low
42360,120.242634,23.184381,臺南市麻豆區中山路段口油車里興民街,未依規定讓車,50,交岔路,交叉路口,無號誌,low
42362,120.242634,23.184381,臺南市麻豆區中山路段口油車里興民街,未依規定讓車,50,交岔路,交叉路口,無號誌,low
42365,120.242634,23.184381,臺南市麻豆區新興里中山路段巷弄號口與興民街段巷弄口,未依規定讓車,50,交岔路,交叉路口,無號誌,low
42366,120.242634,23.184381,臺南市麻豆區油車里中山路段巷弄號口與興民街段巷弄口,未依規定讓車,50,交岔路,交叉路口,無號誌,low
42372,120.242634,23.184381,臺南市麻豆區中山路段口新興里興民街,未依規定讓車,50,交岔路,交叉路口,無號誌,low
42376,120.242634,23.184381,臺南市麻豆區中山路段東側新興里興民街,未依規定讓車,30,交岔路,交叉路口,無號誌,low
42377,120.242634,23.184381,臺南市麻豆區段巷弄號新興里中山路與興民街口與段巷弄口,未依規定讓車,50,交岔路,交叉路口,無號誌,low
42378,120.242634,23.184381,臺南市麻豆區中山路段口油車里興民街,未依規定讓車,50,交岔路,交叉路口,無號誌,low
42380,120.242634,23.184381,臺南市麻豆區中山路段口油車里興民街,未依規定讓車,50,交岔路,交叉路口,無號誌,low
42381,120.242634,23.184381,臺南市麻豆區中山路段東側油車里興民街,未依規定讓車,50,交岔路,交叉路口,無號誌,low
42384,120.242634,23.184381,臺南市麻豆區油車里中山路段號興民街,未依規定讓車,50,交岔路,交叉路口,無號誌,low
42385,120.242634,23.184381,臺南市麻豆區中山路段西側油車里興民街,變換車道或方向不當,50,交岔路,交叉路口,無號誌,low
42386,120.242634,23.184381,臺南市麻豆區油車里中山路段口興民街,迴轉未依規定,50,交岔路,交叉路口,無號誌,low
42387,120.242634,23.184381,臺南市麻豆區中山路段口興民街,未依規定讓車,50,交岔路,交叉路口,無號誌,low
42393,120.242634,23.184381,臺南市麻豆區中山路段口興民街,未依規定讓車,50,交岔路,交叉路口,無號誌,low
42394,120.242634,23.184381,臺南市麻豆區段新興里中山路與興民街口,未依規定讓車,50,交岔路,交叉路口,無號誌,low
42396,120.242634,23.184381,臺南市麻豆區中山路段口興民街,未依規定讓車,50,交岔路,交叉路口,無號誌,low
42398,120.242634,23.184381,臺南市麻豆區油車里中山路段巷弄號口與興民街段巷弄口,左轉彎未依規定,50,交岔路,交叉路口,無號誌,low
42399,120.242634,23.184381,臺南市麻豆區新興里中山路段巷弄號口與興民街段巷弄口,未依規定讓車,50,交岔路,交叉路口,無號誌,low
46439,120.248475,23.183688,臺南市麻豆區大埕里興中路段巷弄號口與中正路段巷弄口,違反號誌管制或指揮,50,交岔路,交叉路口,行車管制號誌,low
46449,120.248475,23.183688,臺南市麻豆區段巷弄號新興里中正路與中山路口與段巷弄口,違規超車,50,交岔路,交叉路口,行車管制號誌,low
46453,120.248475,23.183688,臺南市麻豆區中正路段口巷口里興中路,違反號誌管制或指揮,50,交岔路,交叉路口,行車管制號誌,low
46461,120.248475,23.183688,臺南市麻豆區大埕里中山路段南側大埕里中正路,未依規定讓車,50,交岔路,交叉路口,行車管制號誌,low
46463,120.248475,23.183688,臺南市麻豆區中正路段東側大埕里中山路,左轉彎未依規定,50,交岔路,交叉路口,行車管制號誌,low
46466,120.248475,23.183688,臺南市麻豆區段新興里中正路與中山路口,其他引起事故之違規或不當行為,50,交岔路,交叉路口,行車管制號誌,low
46469,120.248475,23.183688,臺南市麻豆區興中路段口大埕里中正路,未注意車前狀態,50,交岔路,交叉路口,行車管制號誌,low
46470,120.248475,23.183688,臺南市麻豆區大埕里中山路段巷弄號口與興國路段巷弄口,未保持行車安全距離,50,交岔路,交叉路口,行車管制號誌,low
46471,120.248475,23.183688,臺南市麻豆區段中山路與興中路,未依規定讓車,50,交岔路,交叉路口,行車管制號誌,low
46472,120.248475,23.183688,臺南市麻豆區穀興里中山路段號興中路,起步未注意其他車(人)安全,50,交岔路,交叉路口,行車管制號誌,low
46477,120.248475,23.183688,臺南市麻豆區興中路段西側穀興里興國路,未保持行車安全間隔,50,交岔路,交叉路口,行車管制號誌,low
46478,120.248475,23.183688,臺南市麻豆區巷口里興國路段口興中路,未依規定讓車,50,交岔路,交叉路口,行車管制號誌,low
46489,120.248475,23.183688,臺南市麻豆區中正路段口大埕里興中路,起步未注意其他車(人)安全,50,單路部分,路段,無號誌,low
46494,120.248475,23.183688,臺南市麻豆區中興里中山路段口興國路,橫越道路不慎,50,交岔路,交叉路口,行車管制號誌,low
46500,120.248475,23.183688,臺南市麻豆區中興里興國路段中正路口巷弄號,未依規定讓車,50,交岔路,交叉路口,行車管制號誌,low
46509,120.248475,23.183688,臺南市麻豆區大埕里中山路段東側大埕里中正路,違規超車,50,交岔路,交叉路口,行車管制號誌,low
46511,120.248475,23.183688,臺南市麻豆區新興里中山路段號中正路,左轉彎未依規定,50,交岔路,交叉路口,行車管制號誌,low
70282,120.298295,23.072075,臺南市新市區永就里中山路段口永就里光華街,違反號誌管制或指揮,70,交岔路,交叉路口,行車管制號誌,low
70287,120.298295,23.072075,臺南市新市區永就里中山路段光華街口巷弄號,右轉彎未依規定,50,交岔路,交叉路口,行車管制號誌,low
70292,120.298295,23.072075,臺南市新市區港墘里中山路段光華街口巷弄號,違反號誌管制或指揮,50,交岔路,交叉路口,行車管制號誌,low
70294,120.298295,23.072075,臺南市新市區段巷弄號中山路與光華街口與段巷弄口,違反號誌管制或指揮,70,交岔路,交叉路口,行車管制號誌,low
70295,120.298295,23.072075,臺南市新市區永就里中山路段光華街口巷弄號,違反號誌管制或指揮,50,交岔路,交叉路口,行車管制號誌,low
70296,120.298295,23.072075,臺南市新市區永就里省道臺1線段巷弄號口與光華街段巷弄口,未依規定讓車,50,交岔路,交叉路口,行車管制號誌,low
70303,120.298295,23.072075,臺南市新市區光華街段巷弄號口與中山路段巷弄口,右轉彎未依規定,50,交岔路,交叉路口,行車管制號誌,low
70304,120.298295,23.072075,臺南市新市區永就里中山路段號光華街,違反號誌管制或指揮,50,交岔路,交叉路口,行車管制號誌,low
70306,120.298295,23.072075,臺南市新市區永就里中山路段光華街口巷弄號,起步未注意其他車(人)安全,70,單路部分,路段,行車管制號誌,low
70307,120.298295,23.072075,臺南市新市區永就里中山路段光華街口巷弄號,違反號誌管制或指揮,50,交岔路,交叉路口,行車管制號誌(附設行人專用號誌),low
70308,120.298295,23.072075,臺南市新市區中山路段巷弄號口與光華街段巷弄口,未保持行車安全距離,40,交岔路,交叉路口,行車管制號誌,low
70310,120.298295,23.072075,臺南市新市區中山路段巷弄號口與光華街段巷弄口,變換車道或方向不當,70,交岔路,交叉路口,行車管制號誌,low
70311,120.298295,23.072075,臺南市新市區中山路段巷弄號口與光華街段巷弄口,未依規定讓車,70,交岔路,交叉路口,行車管制號誌,low
70312,120.298295,23.072075,臺南市新市區中山路段巷弄號口與光華街段巷弄口,未依規定讓車,70,交岔路,交叉路口,行車管制號誌,low
70313,120.298295,23.072075,臺南市新市區段巷弄號中山路與光華街口與段巷弄口,起步未注意其他車(人)安全,50,交岔路,交叉路口,行車管制號誌,low
71679,120.302003,23.131072,臺南市善化區光文里仁愛路段號民生路,未依規定讓車,50,交岔路,交叉路口,無號誌,low
71709,120.302003,23.131072,臺南市善化區民生路段巷弄號口與仁愛路段巷弄口,未依規定讓車,50,交岔路,交叉路口,無號誌,low
71712,120.302003,23.131072,臺南市善化區光文里民生路段仁愛路口巷弄號,未依規定讓車,50,交岔路,交叉路口,無號誌,low
71714,120.302003,23.131072,臺南市善化區光文里民生路段號仁愛路,未依規定讓車,50,交岔路,交叉路口,無號誌,low
71718,120.302003,23.131072,臺南市善化區光文里仁愛路段民生路口巷弄號,未依規定讓車,50,交岔路,交叉路口,無號誌,low
71719,120.302003,23.131072,臺南市善化區段口巷弄號光文里仁愛路與民生路路口,未依規定讓車,50,交岔路,交叉路口,無號誌,low
71722,120.302003,23.131072,臺南市善化區光文里仁愛路段民生路口巷弄號,未依規定讓車,50,交岔路,交叉路口,無號誌,low
71725,120.302003,23.131072,臺南市善化區光文里民生路段巷弄號口與仁愛路段巷弄口,未依規定讓車,50,交岔路,交叉路口,無號誌,low
71730,120.302003,23.131072,臺南市善化區光文里仁愛路段號民生路,未依規定讓車,50,交岔路,交叉路口,無號誌,low
71735,120.302003,23.131072,臺南市善化區民生路段巷弄號東側與仁愛路段巷弄口,未注意車前狀態,50,交岔路,交叉路口,無號誌,low
71736,120.302003,23.131072,臺南市善化區光文里仁愛路段民生路口巷弄號,未依規定讓車,50,交岔路,交叉路口,無號誌,low
71738,120.302003,23.131072,臺南市善化區光文里仁愛路段民生路口巷弄號,未依規定讓車,50,交岔路,交叉路口,無號誌,low
71740,120.302003,23.131072,臺南市善化區光文里仁愛路段號民生路,未依規定讓車,50,交岔路,交叉路口,無號誌,low
