,GPS經度,GPS緯度,發生縣市名稱,肇因研判子類別名稱-主要,速限-第1當事者,道路型態大類別名稱,事故位置大類別名稱,號誌-號誌種類名稱,risk
2629,120.203312,23.121222,臺南市西港區段號慶安李慶安路與中山路口,未依規定讓車,50,交岔路,交叉路口,行車管制號誌,low
2647,120.203312,23.121222,臺南市西港區西港里中山路段巷弄號口與慶安路段巷弄口,左轉彎未依規定,50,交岔路,交叉路口,行車管制號誌,low
2649,120.203312,23.121222,臺南市西港區慶安里中山路段慶安路口巷弄號,未依規定讓車,50,交岔路,交叉路口,行車管制號誌,low
2655,120.203312,23.121222,臺南市西港區中山路段口慶安里慶安路,未依規定讓車,50,交岔路,交叉路口,行車管制號誌,low
2658,120.203312,23.121222,臺南市西港區慶安里中山路段巷弄號口與慶安路段巷弄口,未依規定讓車,50,交岔路,交叉路口,行車管制號誌,low
2667,120.203312,23.121222,臺南市西港區慶安里中山路段慶安路口巷弄號,違反號誌管制或指揮,50,交岔路,交叉路口,行車管制號誌,low
2668,120.203312,23.121222,臺南市西港區西港里中山路段巷弄號口與慶安路段巷弄口,未依規定讓車,50,交岔路,交叉路口,行車管制號誌,low
2701,120.203312,23.121222,臺南市西港區中山路段附近慶安路,未保持行車安全距離,50,交岔路,交叉路口,行車管制號誌,low
2703,120.203312,23.121222,臺南市西港區慶安里慶安路段中山路口巷弄號,未依規定讓車,40,交岔路,交叉路口,行車管制號誌,low
2705,120.203312,23.121222,臺南市西港區中山路段口西港里慶安路,未依規定讓車,50,交岔路,交叉路口,行車管制號誌,low
2706,120.203312,23.121222,臺南市西港區中山路段口慶安路,未依規定讓車,50,交岔路,交叉路口,行車管制號誌,low
2710,120.203312,23.121222,臺南市西港區慶安里中山路段號慶安路,未依規定讓車,50,交岔路,交叉路口,行車管制號誌,low
2711,120.203312,23.121222,臺南市西港區慶安路段巷弄號口與中山路段巷弄口,未注意車前狀態,50,交岔路,交叉路口,行車管制號誌,low
56729,120.131382,23.117828,臺南市七股區段,未注意車前狀態,30,單路部分,路段,無號誌,low
56743,120.131382,23.117828,臺南市七股區段,未注意車前狀態,70,單路部分,路段,無號誌,low
56746,120.131382,23.117828,臺南市七股區段,未保持行車安全距離,30,單路部分,路段,無號誌,low
56752,120.131382,23.117828,臺南市七股區段口巷弄號,不明原因肇事,70,單路部分,路段,無號誌,low
56769,120.131382,23.117828,臺南市七股區段,未保持行車安全距離,70,單路部分,路段,無號誌,low
56770,120.131382,23.117828,臺南市七股區段口巷弄號,未保持行車安全間隔,60,交岔路,交叉路口,行車管制號誌,low
56773,120.131382,23.117828,臺南市七股區段,未注意車前狀態,30,單路部分,路段,無號誌,low
