,GPS經度,GPS緯度,發生縣市名稱,肇因研判子類別名稱-主要,速限-第1當事者,道路型態大類別名稱,事故位置大類別名稱,號誌-號誌種類名稱,risk
76599,120.310663,23.303971,臺南市新營區三興街段博愛街口巷弄號,未依規定讓車,50,交岔路,交叉路口,無號誌,low
76600,120.310663,23.303971,臺南市新營區三仙里博愛街段三興街口巷弄號,未依規定讓車,30,交岔路,交叉路口,無號誌,low
76604,120.310663,23.303971,臺南市新營區三興街段口博愛街,未依規定讓車,50,交岔路,交叉路口,無號誌,low
76606,120.310663,23.303971,臺南市新營區三仙里博愛街段三興街口巷弄號,未依規定讓車,30,交岔路,路段,無號誌,low
76621,120.310663,23.303971,臺南市新營區三興街段口民生里博愛街,未依規定讓車,50,交岔路,交叉路口,無號誌,low
76627,120.310663,23.303971,臺南市新營區三興街段口三仙里博愛街,未依規定讓車,50,交岔路,交叉路口,無號誌,low
76628,120.310663,23.303971,臺南市新營區民生里博愛街段號三興街,未依規定讓車,30,交岔路,交叉路口,無號誌,low
76634,120.310663,23.303971,臺南市新營區三仙里三興街段巷弄號東側與博愛街段巷弄口,未依規定讓車,30,交岔路,交叉路口,無號誌,low
76635,120.310663,23.303971,臺南市新營區博愛街段巷弄號口與三興街段巷弄口,未依規定讓車,50,交岔路,交叉路口,無號誌,low
76637,120.310663,23.303971,臺南市新營區民生里三興街段博愛街口巷弄號,未依規定讓車,50,交岔路,交叉路口,無號誌,low
76643,120.310663,23.303971,臺南市新營區民生里三興街段巷弄號口與博愛街段巷弄口,未依規定讓車,30,交岔路,交叉路口,無號誌,low
76645,120.310663,23.303971,臺南市新營區三仙里三興街段巷弄號南側與博愛街段巷弄口,未依規定讓車,30,交岔路,路段,無號誌,low
76651,120.310663,23.303971,臺南市新營區博愛街段西側三仙里三興街,未依規定讓車,50,交岔路,路段,無號誌,low
76657,120.310663,23.303971,臺南市新營區民生里博愛街段三興街口巷弄號,未依規定讓車,50,交岔路,交叉路口,無號誌,low
76664,120.310663,23.303971,臺南市新營區段民生里博愛街與三興街路口,未依規定讓車,50,交岔路,交叉路口,無號誌,low
